recipe,installation,epoch,metric,group,count,denominator,rate
uniform_first,1729,0,full_correct,all,1,192,0.005208333333333333
uniform_first,1729,1,full_correct,all,125,192,0.6510416666666666
uniform_first,1729,2,full_correct,all,186,192,0.96875
uniform_first,1729,3,full_correct,all,188,192,0.9791666666666666
uniform_first,1729,0,decision_correct,clear_control,8,64,0.125
uniform_first,1729,1,decision_correct,clear_control,59,64,0.921875
uniform_first,1729,2,decision_correct,clear_control,61,64,0.953125
uniform_first,1729,3,decision_correct,clear_control,63,64,0.984375
uniform_first,1729,0,decision_correct,report_control,62,64,0.96875
uniform_first,1729,1,decision_correct,report_control,60,64,0.9375
uniform_first,1729,2,decision_correct,report_control,63,64,0.984375
uniform_first,1729,3,decision_correct,report_control,64,64,1.0
weighted_first,1729,0,full_correct,all,1,192,0.005208333333333333
weighted_first,1729,1,full_correct,all,130,192,0.6770833333333334
weighted_first,1729,2,full_correct,all,166,192,0.8645833333333334
weighted_first,1729,3,full_correct,all,182,192,0.9479166666666666
weighted_first,1729,0,decision_correct,clear_control,8,64,0.125
weighted_first,1729,1,decision_correct,clear_control,63,64,0.984375
weighted_first,1729,2,decision_correct,clear_control,63,64,0.984375
weighted_first,1729,3,decision_correct,clear_control,63,64,0.984375
weighted_first,1729,0,decision_correct,report_control,62,64,0.96875
weighted_first,1729,1,decision_correct,report_control,48,64,0.75
weighted_first,1729,2,decision_correct,report_control,53,64,0.828125
weighted_first,1729,3,decision_correct,report_control,64,64,1.0
uniform_last,1729,0,full_correct,all,2,192,0.010416666666666666
uniform_last,1729,1,full_correct,all,158,192,0.8229166666666666
uniform_last,1729,2,full_correct,all,182,192,0.9479166666666666
uniform_last,1729,3,full_correct,all,192,192,1.0
uniform_last,1729,0,decision_correct,clear_control,4,64,0.0625
uniform_last,1729,1,decision_correct,clear_control,62,64,0.96875
uniform_last,1729,2,decision_correct,clear_control,63,64,0.984375
uniform_last,1729,3,decision_correct,clear_control,64,64,1.0
uniform_last,1729,0,decision_correct,report_control,64,64,1.0
uniform_last,1729,1,decision_correct,report_control,61,64,0.953125
uniform_last,1729,2,decision_correct,report_control,64,64,1.0
uniform_last,1729,3,decision_correct,report_control,64,64,1.0
weighted_last,1729,0,full_correct,all,2,192,0.010416666666666666
weighted_last,1729,1,full_correct,all,156,192,0.8125
weighted_last,1729,2,full_correct,all,192,192,1.0
weighted_last,1729,3,full_correct,all,192,192,1.0
weighted_last,1729,0,decision_correct,clear_control,4,64,0.0625
weighted_last,1729,1,decision_correct,clear_control,64,64,1.0
weighted_last,1729,2,decision_correct,clear_control,64,64,1.0
weighted_last,1729,3,decision_correct,clear_control,64,64,1.0
weighted_last,1729,0,decision_correct,report_control,64,64,1.0
weighted_last,1729,1,decision_correct,report_control,58,64,0.90625
weighted_last,1729,2,decision_correct,report_control,64,64,1.0
weighted_last,1729,3,decision_correct,report_control,64,64,1.0
uniform_first,2718,0,full_correct,all,1,192,0.005208333333333333
uniform_first,2718,1,full_correct,all,152,192,0.7916666666666666
uniform_first,2718,2,full_correct,all,182,192,0.9479166666666666
uniform_first,2718,3,full_correct,all,176,192,0.9166666666666666
uniform_first,2718,0,decision_correct,clear_control,8,64,0.125
uniform_first,2718,1,decision_correct,clear_control,46,64,0.71875
uniform_first,2718,2,decision_correct,clear_control,58,64,0.90625
uniform_first,2718,3,decision_correct,clear_control,56,64,0.875
uniform_first,2718,0,decision_correct,report_control,62,64,0.96875
uniform_first,2718,1,decision_correct,report_control,64,64,1.0
uniform_first,2718,2,decision_correct,report_control,64,64,1.0
uniform_first,2718,3,decision_correct,report_control,64,64,1.0
weighted_first,2718,0,full_correct,all,1,192,0.005208333333333333
