checkpoint,group_type,group,n,decision_correct_count,decision_correct_denominator,decision_correct_rate,full_correct_count,full_correct_denominator,full_correct_rate,syntax_valid_count,syntax_valid_denominator,syntax_valid_rate,format_valid_count,format_valid_denominator,format_valid_rate,internally_consistent_count,internally_consistent_denominator,internally_consistent_rate,selected_correct_count,selected_correct_denominator,selected_correct_rate,count_correct_count,count_correct_denominator,count_correct_rate,reason_correct_count,reason_correct_denominator,reason_correct_rate,decision_valid_count,decision_valid_denominator,decision_valid_rate,finished_eos_count,finished_eos_denominator,finished_eos_rate,order_compliant_count,order_compliant_denominator,order_compliant_rate,false_clear_count,false_clear_denominator,false_clear_rate,false_report_count,false_report_denominator,false_report_rate,error_incorrect_complete_answers,error_invalid_strict_json,error_invalid_exact_schema,error_wrong_selection,error_wrong_count,error_wrong_reason,error_inconsistent_execution
base_calibration_decision_first,all,all,192,130,192,0.6770833333333334,1,192,0.005208333333333333,192,192,1.0,164,192,0.8541666666666666,3,192,0.015625,19,192,0.09895833333333333,45,192,0.234375,9,192,0.046875,192,192,1.0,192,192,1.0,192,192,1.0,6,128,0.046875,56,64,0.875,191,0,28,173,147,183,189
base_calibration_decision_first,declared_operator,none,192,130,192,0.6770833333333334,1,192,0.005208333333333333,192,192,1.0,164,192,0.8541666666666666,3,192,0.015625,19,192,0.09895833333333333,45,192,0.234375,9,192,0.046875,192,192,1.0,192,192,1.0,192,192,1.0,6,128,0.046875,56,64,0.875,191,0,28,173,147,183,189
base_calibration_decision_first,designated_operator,collapse_issues,42,42,42,1.0,0,42,0.0,42,42,1.0,39,42,0.9285714285714286,0,42,0.0,6,42,0.14285714285714285,7,42,0.16666666666666666,1,42,0.023809523809523808,42,42,1.0,42,42,1.0,42,42,1.0,0,42,0.0,0,0,,42,0,3,36,35,41,42
base_calibration_decision_first,designated_operator,none,64,8,64,0.125,0,64,0.0,64,64,1.0,55,64,0.859375,1,64,0.015625,3,64,0.046875,4,64,0.0625,4,64,0.0625,64,64,1.0,64,64,1.0,64,64,1.0,0,0,,56,64,0.875,64,0,9,61,60,60,63
base_calibration_decision_first,designated_operator,recent_only,44,44,44,1.0,1,44,0.022727272727272728,44,44,1.0,39,44,0.8863636363636364,1,44,0.022727272727272728,6,44,0.13636363636363635,16,44,0.36363636363636365,4,44,0.09090909090909091,44,44,1.0,44,44,1.0,44,44,1.0,0,44,0.0,0,0,,43,0,5,38,28,40,43
base_calibration_decision_first,designated_operator,requested_waivers,42,36,42,0.8571428571428571,0,42,0.0,42,42,1.0,31,42,0.7380952380952381,1,42,0.023809523809523808,4,42,0.09523809523809523,18,42,0.42857142857142855,0,42,0.0,42,42,1.0,42,42,1.0,42,42,1.0,6,42,0.14285714285714285,0,0,,42,0,11,38,24,42,41
base_calibration_decision_first,domain,customer support,24,17,24,0.7083333333333334,0,24,0.0,24,24,1.0,19,24,0.7916666666666666,0,24,0.0,5,24,0.20833333333333334,9,24,0.375,2,24,0.08333333333333333,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,7,8,0.875,24,0,5,19,15,22,24
base_calibration_decision_first,domain,data pipeline,24,19,24,0.7916666666666666,1,24,0.041666666666666664,24,24,1.0,21,24,0.875,1,24,0.041666666666666664,1,24,0.041666666666666664,5,24,0.20833333333333334,2,24,0.08333333333333333,24,24,1.0,24,24,1.0,24,24,1.0,0,16,0.0,5,8,0.625,23,0,3,23,19,22,23
base_calibration_decision_first,domain,event operations,24,16,24,0.6666666666666666,0,24,0.0,24,24,1.0,21,24,0.875,0,24,0.0,3,24,0.125,5,24,0.20833333333333334,1,24,0.041666666666666664,24,24,1.0,24,24,1.0,24,24,1.0,1,16,0.0625,7,8,0.875,24,0,3,21,19,23,24
base_calibration_decision_first,domain,field survey,24,15,24,0.625,0,24,0.0,24,24,1.0,19,24,0.7916666666666666,0,24,0.0,2,24,0.08333333333333333,6,24,0.25,2,24,0.08333333333333333,24,24,1.0,24,24,1.0,24,24,1.0,2,16,0.125,7,8,0.875,24,0,5,22,18,22,24
