checkpoint,steps,target_tokens,prefix_tokens,unique_examples,unique_target_tokens,unique_prefix_tokens,max_sequence_tokens,trainable_parameters,elapsed_s,peak_cuda_allocated_bytes,examples_processed,sample_order_sha256,output_order,class_weighting,seed,learning_rate,initial_adapter_sha256,steps_with_preclip_norm_above_one
competence_uniform_first_i1729_epoch1,96,65378,760323,1536,65378,760323,553,29933568,1152.5524881137535,6022488576,1536,4705d484f9b7ad69db503728f05901ac0bdde27b07fa1d1081fc9ec7c2913357,decision_first,uniform,1729,0.0001,,3
competence_uniform_first_i1729_epoch2,96,65378,760323,1536,65378,760323,553,29933568,1151.6095577073283,6022726144,1536,a02f557f4104b48637e21452ba9a6ba9e610cb64750f3f33358084fb3ccd4829,decision_first,uniform,1730,0.0001,afed84d6bac4d0651099a20209e9b426cd1bfaf645f7d53083772a981afb3afb,1
competence_uniform_first_i1729_epoch3,96,65378,760323,1536,65378,760323,553,29933568,1152.6110879979096,6022251008,1536,366a9a0bc0a1efaa7176e2683b56ab724b37e5ec19a7383a608c0724dffe27b1,decision_first,uniform,1731,0.0001,dcd4847619321414340d368f8a57ae0905a40fbe55c978beaa977a4a69dea675,3
competence_weighted_first_i1729_epoch1,96,65378,760323,1536,65378,760323,553,29933568,1151.3661947599612,6022488576,1536,4705d484f9b7ad69db503728f05901ac0bdde27b07fa1d1081fc9ec7c2913357,decision_first,reweighted,1729,0.0001,,3
competence_weighted_first_i1729_epoch2,96,65378,760323,1536,65378,760323,553,29933568,1152.144392750226,6022726144,1536,a02f557f4104b48637e21452ba9a6ba9e610cb64750f3f33358084fb3ccd4829,decision_first,reweighted,1730,0.0001,6c5bd084c70befa4fea20d83366d66576d4c7496ed819d63da06aab86146dd29,0
competence_weighted_first_i1729_epoch3,96,65378,760323,1536,65378,760323,553,29933568,1151.4669182412326,6022251008,1536,366a9a0bc0a1efaa7176e2683b56ab724b37e5ec19a7383a608c0724dffe27b1,decision_first,reweighted,1731,0.0001,1ea5a07de7917db4c07d21d879b906251b3c8b86e657dc7a391ec6a3648f024b,2
competence_uniform_last_i1729_epoch1,96,65378,760323,1536,65378,760323,553,29933568,1149.8402462489903,6022488576,1536,4705d484f9b7ad69db503728f05901ac0bdde27b07fa1d1081fc9ec7c2913357,decision_last,uniform,1729,0.0001,,3
competence_uniform_last_i1729_epoch2,96,65378,760323,1536,65378,760323,553,29933568,1150.8619015766308,6022726144,1536,a02f557f4104b48637e21452ba9a6ba9e610cb64750f3f33358084fb3ccd4829,decision_last,uniform,1730,0.0001,33707816464b3c232a6a80b588fcd6f0b1e57586ca9d83da68f3ccd563d68d63,2
competence_uniform_last_i1729_epoch3,96,65378,760323,1536,65378,760323,553,29933568,1150.3109045475721,6022251008,1536,366a9a0bc0a1efaa7176e2683b56ab724b37e5ec19a7383a608c0724dffe27b1,decision_last,uniform,1731,0.0001,aae5169007a27e9a1825930b9eee6347a70713c92f5510bd68ddeeff54a04ef9,5
competence_weighted_last_i1729_epoch1,96,65378,760323,1536,65378,760323,553,29933568,1150.8284813230857,6022488576,1536,4705d484f9b7ad69db503728f05901ac0bdde27b07fa1d1081fc9ec7c2913357,decision_last,reweighted,1729,0.0001,,4
competence_weighted_last_i1729_epoch2,96,65378,760323,1536,65378,760323,553,29933568,1150.8084334507585,6022726144,1536,a02f557f4104b48637e21452ba9a6ba9e610cb64750f3f33358084fb3ccd4829,decision_last,reweighted,1730,0.0001,5ff9cb6a1910fe4738e2cfa050f2168640f2131a06103264ff381cc226ddb177,1
competence_weighted_last_i1729_epoch3,96,65378,760323,1536,65378,760323,553,29933568,1152.1182227027602,6022251008,1536,366a9a0bc0a1efaa7176e2683b56ab724b37e5ec19a7383a608c0724dffe27b1,decision_last,reweighted,1731,0.0001,cbdca706738e8f9c17b2e50e82cddc97ec0f27447d0b5cd844aa7b00f4169247,2
competence_weighted_first_i2718_epoch1,96,65378,760323,1536,65378,760323,553,29933568,1150.6822560396977,6022251008,1536,3fc93a04cc975b70b6ee7cd79e69f62e00dd2f729baee194c9623193e87abd3a,decision_first,reweighted,2718,0.0001,,2
competence_weighted_first_i2718_epoch2,96,65378,760323,1536,65378,760323,553,29933568,1152.1437313249335,6023025152,1536,d83a634fd06f895bf6a6ba6981f7032968048b6769a1d0dc19253ef9adec43e1,decision_first,reweighted,2719,0.0001,2ab1762f11530008745c462733b9b6b43428b8303ebdf311d54ac94a6446dce8,1
competence_weighted_first_i2718_epoch3,96,65378,760323,1536,65378,760323,553,29933568,1151.8092768341303,6022488576,1536,12bcd58358d9c1c9147c4b4bb7c17585bbd8781f930798975b50d5f1f8c19575,decision_first,reweighted,2720,0.0001,661976ac530ecd1334e41eb08ce15de797c93c6a75206791bcaaa1aebc7bdb61,2
competence_uniform_last_i2718_epoch1,96,65378,760323,1536,65378,760323,553,29933568,1151.0552095100284,6022251008,1536,3fc93a04cc975b70b6ee7cd79e69f62e00dd2f729baee194c9623193e87abd3a,decision_last,uniform,2718,0.0001,,3
competence_uniform_last_i2718_epoch2,96,65378,760323,1536,65378,760323,553,29933568,1151.2737379437312,6023025152,1536,d83a634fd06f895bf6a6ba6981f7032968048b6769a1d0dc19253ef9adec43e1,decision_last,uniform,2719,0.0001,c53fdb12c4e21af1793ac220b611e8323505655d746a42094f89fc84ffd71c78,2
competence_uniform_last_i2718_epoch3,96,65378,760323,1536,65378,760323,553,29933568,1150.0429711840115,6022488576,1536,12bcd58358d9c1c9147c4b4bb7c17585bbd8781f930798975b50d5f1f8c19575,decision_last,uniform,2720,0.0001,4e13633b8f7020a98bd936e897812cb814ba7430ef031cc22f56cb0d06dd8925,1
competence_weighted_last_i2718_epoch1,96,65378,760323,1536,65378,760323,553,29933568,1151.1800197861157,6022251008,1536,3fc93a04cc975b70b6ee7cd79e69f62e00dd2f729baee194c9623193e87abd3a,decision_last,reweighted,2718,0.0001,,5
competence_weighted_last_i2718_epoch2,96,65378,760323,1536,65378,760323,553,29933568,1151.3635654062964,6023025152,1536,d83a634fd06f895bf6a6ba6981f7032968048b6769a1d0dc19253ef9adec43e1,decision_last,reweighted,2719,0.0001,5b53c521ac1052ea5780f2e93c6fe85c1f35def6753c564e28965c452eb1ec17,3
competence_weighted_last_i2718_epoch3,96,65378,760323,1536,65378,760323,553,29933568,1151.5027114399709,6022488576,1536,12bcd58358d9c1c9147c4b4bb7c17585bbd8781f930798975b50d5f1f8c19575,decision_last,reweighted,2720,0.0001,b97d223e65d2fc7579208f8590ef3e057353c2c1e3a5366f3a3d657e11cf3259,0
competence_uniform_first_i2718_epoch1,96,65378,760323,1536,65378,760323,553,29933568,1150.3432444422506,6022251008,1536,3fc93a04cc975b70b6ee7cd79e69f62e00dd2f729baee194c9623193e87abd3a,decision_first,uniform,2718,0.0001,,2
competence_uniform_first_i2718_epoch2,96,65378,760323,1536,65378,760323,553,29933568,1150.5372417131439,6023025152,1536,d83a634fd06f895bf6a6ba6981f7032968048b6769a1d0dc19253ef9adec43e1,decision_first,uniform,2719,0.0001,2521a9a683848c5791b086013f578177c1b2c36715e1bf9cb0d1dda8a16babbc,1
competence_uniform_first_i2718_epoch3,96,65378,760323,1536,65378,760323,553,29933568,1150.0122027457692,6022488576,1536,12bcd58358d9c1c9147c4b4bb7c17585bbd8781f930798975b50d5f1f8c19575,decision_first,uniform,2720,0.0001,d0a174548e34845d1d7366fd8e5f65ef509095011ae07ebf0b8f5beb2275b12c,1
