id,position,stratum,family,format_valid,decision_correct,internally_consistent,full_correct,false_clear,false_report,strict_json,decision_valid,reason_correct,selected_exact,count_exact,eos_finished,order_assessable,requested_order_followed
rc-calibration-00020,0,trigger_report,all__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00156,1,clear,all__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00185,2,clear,current__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00161,3,clear,current__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00085,4,control_report,all__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00010,5,trigger_report,all__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00034,6,trigger_report,current__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00056,7,trigger_report,current__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00147,8,clear,current__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00064,9,control_report,all__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00041,10,trigger_report,current__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00045,11,trigger_report,current__approved_only__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00087,12,control_report,current__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00062,13,trigger_report,all__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00055,14,trigger_report,all__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00035,15,trigger_report,current__none__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00099,16,control_report,all__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00142,17,clear,all__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00188,18,clear,current__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00163,19,clear,all__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00130,20,clear,current__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00048,21,trigger_report,all__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00102,22,control_report,all__approved_only__issues,1,1,1,1,0,0,1,1,1,1,1,1,1,1
rc-calibration-00184,23,clear,current__none__events,1,1,1,1,0,0,1,1,1,1,1,1,1,1
